sentence,response,response_round,type,lexicalization,condition
"Или я, или Дима послушаем это голосовое сообщение.",4.5,4.0,stimul,5.0,"1pl, or_or"
Галстук под пиджак подбираем ты и я.,4.416666666666667,4.0,stimul,23.0,"you_I, 1pl"
"В прошлом ноябре Лида продала и кровать, и ковер.",6.361702127659575,6.0,filler,33.0,good
"В большом шкафу, достающем до потолка, висело три галстука.",6.333333333333333,6.0,stimul,18.0,"singular verb, VS, non-feminine noun"
"Или Никита, или я побелим этот высокий потолок.",4.8,5.0,stimul,20.0,"1pl, or_or"
Веселый и угрюмый друзья созвонились по телефону.,2.861111111111111,3.0,stimul,33.0,"plural, stem"
"Четыре грузовика ехали по скоростной дороге,  проходящей через мегаполис.",6.153846153846154,6.0,stimul,5.0,"plural verb, SV, non-feminine noun"
Лингвист изучил эти дюжину языков.,2.583333333333333,3.0,dyuzina,1.0,"acc, unanimated"
В человеческом общении различаются честность и прямолинейность.,4.2,4.0,stimul,3.0,"symmetric, plural verb, VS"
Кирилл помоет тарелку и чашку.,6.379746835443038,6.0,filler,33.0,good
Я или Стёпа исполню эту оперную арию.,3.3,3.0,stimul,4.0,"1sg, or"
Лёва и я решит сложную задачу.,1.9,2.0,stimul,25.0,"3sg, and"
Сердце и круг закрашивается в причудливом узоре.,4.166666666666667,4.0,stimul,32.0,"nonsymmetric, singular verb, SV"
Андрей установил два аналоговых и шесть цифровых приборов для замера показаний.,6.444444444444445,6.0,stimul,6.0,"different, plural, numeral_yes"
"Многие родственники, кто уедут из деревни, продадут дома.",4.0588235294117645,4.0,stimul,30.0,"with head noun, plural verb"
В усадебном стиле смыкается новаторство и традиция.,4.142857142857143,4.0,stimul,18.0,"symmetric, singular verb, VS"
Ты и я покупаю телевизор для бабушки.,3.066666666666667,3.0,stimul,1.0,"you_I, 1sg"
Мы двое переночуют в больших палатках.,1.9,2.0,stimul,19.0,"we, nom, 3pl"
В дешёвых хостелах остановится они двое.,1.5555555555555556,2.0,stimul,7.0,"they, nom, 3sg"
На акустической гитаре сыграют они двое.,2.6666666666666665,3.0,stimul,13.0,"they, nom, 3pl"
"Или я, или Лёва решат эту сложную задачу.",4.3,4.0,stimul,11.0,"3pl, or_or"
На нижнем рисунке пересекаются окружность и отрезок.,5.571428571428571,6.0,stimul,26.0,"symmetric, plural verb, VS"
Илья поделит родительские наследство.,4.376623376623376,4.0,filler,33.0,bad
"Или Петя, или я поднимут этот важный вопрос.",3.090909090909091,3.0,stimul,15.0,"3pl, or_or"
Петя или я поднимут этот важный вопрос.,3.555555555555556,4.0,stimul,15.0,"3pl, or"
Петя пишет сочинение и диктант на этом уроком.,2.3703703703703702,2.0,filler,501.0,bad
Все из них опубликуются в научных журналах.,3.555555555555556,4.0,stimul,2.0,"they, elect, 3pl"
"Каждая работница, кто трудился на производстве чугуна, получает большую пенсию.",5.0,5.0,stimul,20.0,"with head noun, feminine head, masculine verb"
Паша или я посетят этот научный семинар.,3.5,4.0,stimul,16.0,"3pl, or"
Трое из них прилетит в разные аэропорты.,3.0,3.0,stimul,8.0,"they, elect, 3sg"
"Четыре вагонетки ехали по железной дороге, ведущей в Тулу.",5.583333333333333,6.0,stimul,29.0,"plural verb, SV, feminine noun"
Гриша и я сыграет шахматную партию.,1.8,2.0,stimul,29.0,"3sg, and"
"Каждый, кто явился на собрание родителей, расспрашивает классного руководителя.",6.142857142857143,6.0,stimul,34.0,"no head noun, masculine head, masculine verb"
Зимой они с Сашей пропивают курс витаминов.,5.666666666666667,6.0,stimul,4.0,"inclusory comitative, 3rd person pronoun"
В известном стихотворении описываются море и солнце.,6.666666666666667,7.0,stimul,27.0,"nonsymmetric, plural verb, VS"
Долг и зло отображается в оригинальном сценарии.,3.1,3.0,stimul,28.0,"nonsymmetric, singular verb, SV"
В оригинальном сценарии переплетаются долг и зло.,5.571428571428571,6.0,stimul,28.0,"symmetric, plural verb, VS"
За допущенные ошибки извинится мы четверо.,2.0,2.0,stimul,45.0,"we, nom, 3sg"
Эдуард представил комедийный и драматические фильмы на летнем фестивале.,4.428571428571429,4.0,stimul,12.0,"different, plural, numeral_no"
Максим продаст шкаф и кровать.,6.371794871794871,6.0,filler,33.0,good
В социальных опросах поучаствуют все из них.,4.444444444444445,4.0,stimul,48.0,"they, elect, 3pl"
Максим и я сделают домашнее задание.,2.555555555555556,3.0,stimul,3.0,"3pl, and"
Перед концертом Аня настроила классическую и гавайскую гитары.,6.454545454545454,6.0,stimul,7.0,"plural, and"
"Каждый, кто уволился из отдела кадров, ругает жестокого начальника.",5.75,6.0,stimul,35.0,"no head noun, masculine head, masculine verb"
Трое из нас опубликуется в научных журналах.,4.166666666666667,4.0,stimul,2.0,"they, elect, 3sg"
"В старой сумке, висевшей в гардеробе, лежали четыре открытки.",6.461538461538462,6.0,stimul,14.0,"plural verb, VS, feminine noun"
Теория и практика освещаются в новом курсе.,6.428571428571429,6.0,stimul,7.0,"nonsymmetric, plural verb, SV"
"В узком переулке, прилегавшем к скверу, стояло четыре здания.",5.769230769230769,6.0,stimul,32.0,"singular verb, VS, non-feminine noun"
Я и Данила найдёт верный ответ.,2.5,2.0,stimul,20.0,"3sg, and"
Пятеро из нас созвонятся с поставщиками продуктов.,6.375,6.0,stimul,10.0,"we, elect, 3pl"
На далеком горизонте сходится земля и небо.,3.857142857142857,4.0,stimul,22.0,"symmetric, singular verb, VS"
К новым поликлиникам прикрепится они пятеро.,1.7777777777777777,2.0,stimul,40.0,"they, nom, 3sg"
"При переезде Даня помял стенки и картонной, и жестяной коробок.",5.181818181818182,5.0,stimul,31.0,"plural, and…and"
"Во время ужина Поля разбила предметы и чайного, и кофейного сервизов.",6.333333333333333,6.0,stimul,25.0,"plural, and…and"
О скорых отставках объявят мы все.,2.375,2.0,stimul,36.0,"we, nom, 3pl"
В спортивные секции запишутся семеро из нас.,6.555555555555555,7.0,stimul,12.0,"we, elect, 3pl"
"Каждый, кто преподавал в классе коррекции, имеет медицинское образование.",6.142857142857143,6.0,stimul,21.0,"no head noun, masculine head, masculine verb"
"Две кометы летело к спутнику, вращающемуся вокруг Марса.",4.75,5.0,stimul,10.0,"singular verb, SV, feminine noun"
Крючок и кольцо ломается в серебряной застежке.,4.666666666666667,5.0,stimul,6.0,"nonsymmetric, singular verb, SV"
"И я, и Петя нарисует подробную схему.",2.5,2.0,stimul,1.0,"3sg, and_and"
Я и ты варю гречку на костре.,2.2,2.0,stimul,13.0,"I_you, 1sg"
Они семеро поучаствуют в социальных опросах.,3.4,3.0,stimul,48.0,"they, nom, 3pl"
Моя куча рукописей хранилась в библиотеке.,5.888888888888889,6.0,stimul,16.0,"singular premodifier, singular verb"
"Или Гоша, или я начнут этот непростой разговор.",3.0,3.0,stimul,28.0,"3pl, or_or"
Они трое прилетит в разные аэропорты.,1.8,2.0,stimul,8.0,"they, nom, 3sg"
Моя масса друзей поехала за город.,2.0,2.0,stimul,5.0,"singular premodifier, singular verb"
На акустической гитаре сыграем мы все.,3.875,4.0,stimul,13.0,"we, nom, 1pl"
"Те репортеры, кто побывают на открытии, заметят подмену.",3.888888888888889,4.0,stimul,12.0,"with head noun, plural verb"
"Те, кто попадет на съезд, выиграют гранты.",4.818181818181818,5.0,stimul,14.0,"no head noun, singular verb"
"И Денис, и я пропустят финальный матч.",2.5,2.0,stimul,12.0,"3pl, and_and"
Миша сдаст этот вступительный экзамен.,6.2405063291139244,6.0,filler,33.0,good
В перспективные акции вложится они трое.,1.8888888888888888,2.0,stimul,44.0,"they, nom, 3sg"
Мы все поступим в столичные вузы.,6.6,7.0,stimul,17.0,"we, nom, 1pl"
Они шестеро ответит за поломанные инструменты.,2.1818181818181817,2.0,stimul,35.0,"they, nom, 3sg"
Часто он с Катей танцует финское танго.,6.0,6.0,stimul,2.0,"comitative, 3rd person pronoun"
Я и Дима послушают праздничный концерт.,3.6,4.0,stimul,17.0,"3pl, and"
В отдаленном регионе развивается город и деревня.,4.142857142857143,4.0,stimul,10.0,"nonsymmetric, singular verb, VS"
На пятничную вечеринку придёт двое из нас.,5.555555555555555,6.0,stimul,1.0,"we, elect, 3sg"
Олег составил два финансовых и три хозяйственных договора для своих клиентов.,5.285714285714286,5.0,stimul,10.0,"same, singular, numeral_yes"
Из всех напитков дети предпочитают сок и газировку.,6.444444444444445,6.0,filler,501.0,good
На пятничную вечеринку придёт мы двое.,1.75,2.0,stimul,1.0,"we, nom, 3sg"
В мамином характере проявляется мягкость и строгость.,5.8,6.0,stimul,1.0,"nonsymmetric, singular verb, VS"
Только вы с Мишей планируют поездку на дачей.,1.7789473684210526,2.0,filler,,bad
Пятеро из нас созвонимся с поставщиками продуктов.,3.0,3.0,stimul,10.0,"we, elect, 1pl"
Икс и игрек перемножается на следующем шаге.,4.4,4.0,stimul,11.0,"symmetric, singular verb, SV"
На следующем шаге вычитаются икс и игрек.,4.833333333333333,5.0,stimul,11.0,"nonsymmetric, plural verb, VS"
Мы все переночуем в больших палатках.,6.166666666666667,6.0,stimul,19.0,"we, nom, 1pl"
Вечером я и Стёпа слушаем иностранные песни.,5.75,6.0,stimul,18.0,"conjunction, 1st person pronoun"
"Те, кто успеют к началу, снимут режиссера.",4.166666666666667,4.0,stimul,29.0,"no head noun, plural verb"
В новом зданием люди путают холл и библиотеку.,2.7777777777777777,3.0,filler,501.0,bad
"Или Паша, или я посещу этот научный семинар.",5.222222222222222,5.0,stimul,16.0,"1sg, or_or"
В пятницу Коля перекрасил стены спальной и детской комнаты.,5.416666666666667,5.0,stimul,12.0,"singular, and"
Заяц не заметило пары капканов.,1.0625,1.0,,501.0,bad
В ежедневном распорядке недооцениваются труд и досуг.,5.333333333333333,5.0,stimul,19.0,"nonsymmetric, plural verb, VS"
По незнакомым номерам перезвонят пятеро из них.,5.111111111111111,5.0,stimul,22.0,"they, elect, 3pl"
Участок под огород арендую ты и я.,2.5,2.0,stimul,22.0,"you_I, 1sg"
Долг и зло отображается в оригинальном сценарии.,3.1,3.0,stimul,28.0,"nonsymmetric, singular verb, SV"
Все из нас запишутся в спортивные секции.,5.333333333333333,5.0,stimul,12.0,"we, elect, 3pl"
В столичные вузы поступят все из них.,4.444444444444445,4.0,stimul,17.0,"they, elect, 3pl"
На проходной завода отметится трое из нас.,5.222222222222222,5.0,stimul,38.0,"we, elect, 3sg"
Фирму и начальником опозорил Алиса.,1.3282442748091603,1.0,filler,,bad
"Каждого поэта, кто публиковался в спецвыпуске журнала, отличает оригинальный стиль.",5.444444444444445,5.0,stimul,29.0,"with head noun, masculine head, masculine verb"
За поломанные инструменты ответят шестеро из них.,5.333333333333333,5.0,stimul,35.0,"they, elect, 3pl"
В дешёвых хостелах остановимся двое из нас.,2.4444444444444446,2.0,stimul,7.0,"we, elect, 1pl"
Национальный духу и идее отразились в философии.,2.507042253521127,3.0,filler,58.0,bad
Мой ряд вопросов поступили в разработку.,1.6,2.0,stimul,13.0,"singular premodifier, plural verb"
Вася починит телевизор и радио.,6.32051282051282,6.0,filler,33.0,good
Восемь первокурсник придут на конференцией.,2.302158273381295,2.0,filler,,bad
В крещенской проруби искупается мы пятеро.,2.0,2.0,stimul,4.0,"we, nom, 3sg"
Никита и я попросят дополнительный отгул.,3.6,4.0,stimul,10.0,"3pl, and"
Прядь и лента сплетаются в модной прическе.,6.285714285714286,6.0,stimul,31.0,"symmetric, plural verb, SV"
На старой фотографии сливается лицо и фон.,5.714285714285714,6.0,stimul,2.0,"symmetric, singular verb, VS"
Теория и практика совмещается в новом курсе.,4.857142857142857,5.0,stimul,7.0,"symmetric, singular verb, SV"
Знакомый купит одноэтажный или двухэтажный дома.,2.5294117647058822,3.0,stimul,24.0,"plural, or"
В лесных озёрах порыбачит мы двое.,1.875,2.0,stimul,31.0,"we, nom, 3sg"
Эти миллион выпускников поступал в университет.,1.0909090909090908,1.0,stimul,32.0,"plural premodifier, singular verb"
Я и Стёпа попробуют яблочный пирог.,2.1,2.0,stimul,9.0,"3pl, and"
Труд и досуг разделяются в ежедневном распорядке.,5.714285714285714,6.0,stimul,19.0,"symmetric, plural verb, SV"
Гречку на костре варим я и ты.,4.4375,4.0,stimul,13.0,"I_you, 1pl"
В карнавальные костюмы переоденутся все из них.,4.111111111111111,4.0,stimul,6.0,"they, elect, 3pl"
"Или Слава, или я купит эту известную картину.",2.3,2.0,stimul,19.0,"3sg, or_or"
Вы с Любой выкупим цепочку из ломбарде.,2.1510791366906474,2.0,filler,,bad
Только вы с Мишей планируют поездку на дачей.,2.085714285714286,2.0,filler,,bad
Сейчас ты и Дима снимаете скромную квартиру.,4.533333333333333,5.0,stimul,12.0,"conjunction, 2nd person pronoun"
В гостиничные номера вернёмся мы четверо.,4.0,4.0,stimul,15.0,"we, nom, 1pl"
Во встроенном шкафу жильцы хранят одежду и обувь.,6.472727272727273,6.0,filler,501.0,good
Валерий заполнил электронные и бумажный журнал в конце четверти.,3.4444444444444446,3.0,stimul,26.0,"different, singular, numeral_no"
К новым поликлиникам прикрепимся мы все.,4.25,4.0,stimul,40.0,"we, nom, 1pl"
"И Влад, и я покажут короткую дорогу.",3.6,4.0,stimul,13.0,"3pl, and_and"
Летом вы с Даша посещаете ночные кинопоказы.,1.9397590361445785,2.0,filler,28.0,bad
Игорь и я совершит далёкое путешествие.,2.7,3.0,stimul,28.0,"3sg, and"
Диван в гараж отвожу я и ты.,3.0,3.0,stimul,17.0,"I_you, 1sg"
Весной он и Ксюша планируют предстоящий отпуск.,4.846153846153846,5.0,stimul,20.0,"conjunction, 3rd person pronoun"
В модной прическе используются прядь и лента.,6.333333333333333,6.0,stimul,31.0,"nonsymmetric, plural verb, VS"
Спутник сделал миллион кругах вокруг Земли.,1.1219512195121952,1.0,filler,501.0,bad
"Все ученики, кто опоздают на урок, напишут объяснительные.",4.333333333333333,4.0,stimul,19.0,"with head noun, plural verb"
Скрипач заслужили сотню похвал.,2.382978723404255,2.0,,501.0,bad
"Каждого актёра, кто сыграл в картине режиссёра, награждает Американская киноакадемия.",4.625,5.0,stimul,1.0,"with head noun, masculine head, masculine verb"
"Каждая повариха, кто готовил на кухне детсада, делает изумительную кашу.",3.555555555555556,4.0,stimul,13.0,"with head noun, feminine head, masculine verb"
Яша и я приготовим вкусный обед.,5.9,6.0,stimul,30.0,"1pl, and"
В великом романе теряется поэзия и проза.,5.2,5.0,stimul,13.0,"nonsymmetric, singular verb, VS"
Они все порыбачат в лесных озёрах.,5.8,6.0,stimul,31.0,"they, oni, 3pl"
Коробки в макулатуру сдаём ты и я.,5.105263157894737,5.0,stimul,19.0,"you_I, 1pl"
Пятеро из них пойдут на курсы вождения.,5.333333333333333,5.0,stimul,46.0,"they, elect, 3pl"
"За два часа Леша починил и деревянный, и пластмассовый стол.",5.461538461538462,5.0,stimul,11.0,"singular, and…and"
Расход и прибыль учитывается в годовом отчете.,5.166666666666667,5.0,stimul,16.0,"nonsymmetric, singular verb, SV"
"Каждая женщина, кто позанимался в студии йоги, обретает душевное равновесие.",3.2857142857142856,3.0,stimul,4.0,"with head noun, feminine head, masculine verb"
Я и ты отмывают духовку от жира.,3.3076923076923075,3.0,stimul,10.0,"I_you, 3pl"
Все из них вмешаются в важные переговоры.,3.333333333333333,3.0,stimul,29.0,"they, elect, 3pl"
"На узкую тропу, проходящую через лес, упало три березы.",5.142857142857143,5.0,stimul,15.0,"singular verb, VS, feminine noun"
Я или Никита побелят этот высокий потолок.,3.5,4.0,stimul,20.0,"3pl, or"
Кирилл и я прополет капустную грядку.,2.2,2.0,stimul,24.0,"3sg, and"
"Каждая, кто позанимался в студии йоги, обретает душевное равновесие.",3.888888888888889,4.0,stimul,4.0,"no head noun, feminine head, masculine verb"
"В среду Сеня выучил и алгебраическую, и геометрическую теорему.",5.384615384615385,5.0,stimul,5.0,"singular, and…and"
Из больницы выписали этих дюжину пациентов.,2.333333333333333,2.0,dyuzina,8.0,"acc, animated"
"Машина, ехавшие по трассе, перевозили четырех людей.",2.323809523809524,2.0,filler,500.0,bad
Саша или я отнесу это тяжёлое ведро.,5.1,5.0,stimul,32.0,"1sg, or"
К поисковым отрядам присоединятся пятеро из нас.,5.888888888888889,6.0,stimul,28.0,"we, elect, 3pl"
На проходной завода отметится мы трое.,2.4285714285714284,2.0,stimul,38.0,"we, nom, 3sg"
Завтра ты и Никита заполняешь бумаги дедушки.,2.75,3.0,stimul,27.0,"conjunction, 2nd person pronoun"
Этот десяток препаратов продавались по рецепту.,3.8,4.0,stimul,1.0,"singular premodifier, plural verb"
"Или Саша, или я отнесёт это тяжёлое ведро.",3.363636363636364,3.0,stimul,32.0,"3sg, or_or"
В первом предложении склоняется существительное и местоимение.,5.2,5.0,stimul,21.0,"nonsymmetric, singular verb, VS"
Усидчивый и подвижный дети сыграли в шахматы.,2.611111111111111,3.0,stimul,21.0,"plural, stem"
Ты и я снимаю комнату у метро.,2.3846153846153846,2.0,stimul,5.0,"you_I, 1sg"
Я или Андрей увидит этот кукольный спектакль.,3.6,4.0,stimul,2.0,"3sg, or"
На далеком горизонте сходится земля и небо.,3.857142857142857,4.0,stimul,22.0,"symmetric, singular verb, VS"
"Все преступники, кто сбегут из тюрьмы, понесут наказание.",3.857142857142857,4.0,stimul,23.0,"with head noun, plural verb"
Вася или я проведут это экстренное совещание.,3.5,4.0,stimul,1.0,"3pl, or"
К поисковым отрядам присоединятся все из нас.,3.6666666666666665,4.0,stimul,28.0,"we, elect, 3pl"
На конкурсе чтецов победим все из нас.,2.888888888888889,3.0,stimul,37.0,"we, elect, 1pl"
"И Ваня, и я возьмут краткосрочный отпуск.",3.3,3.0,stimul,6.0,"3pl, and_and"
"Или я, или Ваня отправлю это заказное письмо.",2.3,2.0,stimul,18.0,"1sg, or_or"
Я или Костя расскажет эту интересную историю.,1.9,2.0,stimul,8.0,"3sg, or"
"Каждая, кто осталась в поселении старообрядцев, ведёт собственное хозяйство.",5.0,5.0,stimul,28.0,"no head noun, feminine head, feminine verb"
Гречку на костре варят ты и я.,3.4,3.0,stimul,13.0,"you_I, 3pl"
На южных курортах отдохнут семеро из нас.,6.222222222222222,6.0,stimul,24.0,"we, elect, 3pl"
Мы пятеро искупаемся в крещенской проруби.,5.5,6.0,stimul,4.0,"we, nom, 1pl"
"Или я, или Петя поднимет этот важный вопрос.",3.5,4.0,stimul,15.0,"3sg, or_or"
Я и Андрей увидят кукольный спектакль.,4.0,4.0,stimul,4.0,"3pl, and"
За новые проекты возьмутся все из нас.,3.6666666666666665,4.0,stimul,42.0,"we, elect, 3pl"
После поломки Витя отремонтировал большой и маленький чемоданы.,6.416666666666667,6.0,stimul,30.0,"plural, and"
"Каждая, кто зарегистрировалась на сайте знакомств, ищет подходящего партнёра.",5.714285714285714,6.0,stimul,19.0,"no head noun, feminine head, feminine verb"
Трое фокусника будут приглашен на день рождения.,2.4,2.0,filler,,bad
"Во вторник Тася постирала и фиолетовую, и желтую водолазку.",5.083333333333333,5.0,stimul,20.0,"singular, and…and"
Мои ряд преподавателей выступали за реформу.,2.5,2.0,stimul,10.0,"plural premodifier, plural verb"
Мы четверо познакомятся с артистами спектакля.,1.3333333333333333,1.0,stimul,33.0,"we, nom, 3pl"
Василий использовал пять длинных и короткие шланги для полива огорода.,2.0,2.0,stimul,1.0,"different-in-numeral, plural, numeral_no"
Вечером Глеб и Ксюша включает старые пластинки.,2.8313253012048194,3.0,filler,28.0,bad
"Перед спектаклем Петя вымыл ступени и черной, и парадной лестниц.",5.384615384615385,5.0,stimul,15.0,"plural, and…and"
"В пригородных поселениях, расстилающихся по равнине, заработало два предприятия.",4.538461538461538,5.0,stimul,13.0,"singular verb, VS, non-feminine noun"
На нижнем рисунке находится окружность и отрезок.,4.428571428571429,4.0,stimul,26.0,"nonsymmetric, singular verb, VS"
Мы двое свяжемся со свадебными фотографами.,4.0,4.0,stimul,25.0,"we, nom, 1pl"
"В большой палате, находившейся напротив медпоста, cтояло две кровати.",5.833333333333333,6.0,stimul,4.0,"singular verb, VS, feminine noun"
Икс и игрек перемножаются на следующем шаге.,5.571428571428571,6.0,stimul,11.0,"symmetric, plural verb, SV"
В карнавальные костюмы переоденемся мы все.,4.125,4.0,stimul,6.0,"we, nom, 1pl"
Прядь и лента сплетаются в модной прическе.,6.285714285714286,6.0,stimul,31.0,"symmetric, plural verb, SV"
Во встроенном шкафу жильцы хранят одежду и обувь.,6.472727272727273,6.0,filler,501.0,good
О скорых отставках объявит мы семеро.,1.75,2.0,stimul,36.0,"we, nom, 3sg"
Все из нас поучаствуем в социальных опросах.,2.5,2.0,stimul,48.0,"we, elect, 1pl"
На далеком горизонте сходятся земля и небо.,5.8,6.0,stimul,22.0,"symmetric, plural verb, VS"
Новаторство и традиция выделяется в усадебном стиле.,4.0,4.0,stimul,18.0,"nonsymmetric, singular verb, SV"
Морская и сухопутная пехота перешли в наступление.,5.694444444444445,6.0,stimul,16.0,"singular, gap"
Пятеро из нас прикрепятся к новым поликлиникам.,6.0,6.0,stimul,40.0,"we, elect, 3pl"
Я и ты пишем заявление на увольнение.,4.866666666666666,5.0,stimul,15.0,"I_you, 1pl"
Миша или я исправят эту случайную ошибку.,4.0,4.0,stimul,31.0,"3pl, or"
Завтра они с Лизой измеряют скорость чтения.,4.933333333333334,5.0,stimul,14.0,"inclusory comitative, 3rd person pronoun"
Поездку на дачу планирую я и ты.,2.85,3.0,stimul,16.0,"I_you, 1sg"
"Во время прогулки Дима нашел и сибирскую, и китайскую ель.",5.444444444444445,5.0,stimul,2.0,"singular, and…and"
В соседние страны переедут трое из них.,5.777777777777778,6.0,stimul,32.0,"they, elect, 3pl"
С нынешних позиций уволится мы семеро.,1.875,2.0,stimul,18.0,"we, nom, 3sg"
Все из них покатаются на двугорбых верблюдах.,5.5,6.0,stimul,26.0,"they, elect, 3pl"
"Каждую учительницу, кто преподавала в классе коррекции, ценит школьное руководство.",4.0,4.0,stimul,21.0,"with head noun, feminine head, feminine verb"
"Или Стёпа, или я исполнят эту оперную арию.",3.9,4.0,stimul,4.0,"3pl, or_or"
"Многие, кто застрянут в пробке, потеряют время.",5.222222222222222,5.0,stimul,6.0,"no head noun, plural verb"
"Два покрывала находилось в большом сундуке, помещенном в кладовку.",4.307692307692308,4.0,stimul,28.0,"singular verb, SV, non-feminine noun"
В научных журналах опубликуется они трое.,1.8888888888888888,2.0,stimul,2.0,"they, nom, 3sg"
Лёва или я произнесёт эту торжественную речь.,4.4,4.0,stimul,30.0,"3sg, or"
"Или Дима, или я послушаю это голосовое сообщение.",3.0,3.0,stimul,5.0,"1sg, or_or"
Окружность и отрезок находится на нижнем рисунке.,3.25,3.0,stimul,26.0,"nonsymmetric, singular verb, SV"
"Или Саша, или я отнесём это тяжёлое ведро.",4.5,4.0,stimul,32.0,"1pl, or_or"
Сейчас они с Димой снимают скромную квартиру.,5.75,6.0,stimul,12.0,"inclusory comitative, 3rd person pronoun"
Они все извинятся за допущенные ошибки.,5.727272727272728,6.0,stimul,45.0,"they, oni, 3pl"
Семеро из нас объявят о скорых отставках.,6.5,6.0,stimul,36.0,"we, elect, 3pl"
"Или я, или Саша отнесём это тяжёлое ведро.",4.8,5.0,stimul,32.0,"1pl, or_or"
Со свадебными фотографами свяжется двое из них.,3.6666666666666665,4.0,stimul,25.0,"they, elect, 3sg"
"И Вова, и я спою весёлую песню.",1.7,2.0,stimul,7.0,"1sg, and_and"
"Или я, или Слава купит эту известную картину.",4.6,5.0,stimul,19.0,"3sg, or_or"
Столик на веранде заняли Даня и Лиза.,6.358778625954199,6.0,filler,,good
Максим и я прогуляем последний урок.,5.7,6.0,stimul,32.0,"1pl, and"
"Две юбки появилось в модном бутике, открывшемся в центре.",5.307692307692308,5.0,stimul,22.0,"singular verb, SV, feminine noun"
Я и ты беру билет на самолёт.,3.0,3.0,stimul,14.0,"I_you, 1sg"
Данила и я найдёт верный ответ.,2.9,3.0,stimul,20.0,"3sg, and"
Оригинал и подделка изучается на музейной экспертизе.,4.2,4.0,stimul,20.0,"nonsymmetric, singular verb, SV"
Ваня или я отправим это заказное письмо.,5.2,5.0,stimul,18.0,"1pl, or"
В лесных озёрах порыбачим все из нас.,2.7777777777777777,3.0,stimul,31.0,"we, elect, 1pl"
Существительное и местоимение склоняются в первом предложении.,6.0,6.0,stimul,21.0,"nonsymmetric, plural verb, SV"
На сцену подрался гитарист и ударник.,1.83206106870229,2.0,filler,,bad
Со сломанными телефонами разберутся они четверо.,2.7777777777777777,3.0,stimul,9.0,"they, nom, 3pl"
"И я, и Кирилл прополем капустную грядку.",4.5,4.0,stimul,24.0,"1pl, and_and"
В больших палатках переночуют они все.,4.5,4.0,stimul,19.0,"they, oni, 3pl"
Илья поделит родительские наследство.,4.376623376623376,4.0,filler,33.0,bad
Эта дюжина однокурсников пошли в кино.,2.0,2.0,stimul,3.0,"singular premodifier, plural verb"
Большие и маленькие очки завалились под кровать.,6.057142857142857,6.0,stimul,36.0,"plural, gap"
В байдарочные походы отправимся четверо из нас.,2.4444444444444446,2.0,stimul,27.0,"we, elect, 1pl"
Существительное и местоимение сочиняются в первом предложении.,3.6,4.0,stimul,21.0,"symmetric, plural verb, SV"
Родион продал пять российских и иностранные автомобили по сниженной цене.,2.75,3.0,stimul,22.0,"different-in-numeral, plural, numeral_no"
"Каждую, кто лежала в отделении кардиологии, ограничивают врачебные предписания.",4.857142857142857,5.0,stimul,24.0,"no head noun, feminine head, feminine verb"
"Или Игорь, или я совершат это далёкое путешествие.",3.0,3.0,stimul,13.0,"3pl, or_or"
Мы все запишутся в спортивные секции.,3.5,4.0,stimul,12.0,"we, nom, 3pl"
"Каждого, кто пострадал от чистки лица, беспокоит новый косметолог.",5.555555555555555,6.0,stimul,18.0,"no head noun, masculine head, masculine verb"
Соль и сахар кладутся в глубокую емкость.,5.75,6.0,stimul,4.0,"nonsymmetric, plural verb, SV"
Мы все вмешаемся в важные переговоры.,3.25,3.0,stimul,29.0,"we, nom, 1pl"
К новым поликлиникам прикрепятся они все.,4.25,4.0,stimul,40.0,"they, oni, 3pl"
Мы все съездим в отдалённые деревни.,4.0,4.0,stimul,20.0,"we, nom, 1pl"
Шестеро из них приберётся в старых кладовках.,3.5,4.0,stimul,47.0,"they, elect, 3sg"
В больших палатках переночуем все из нас.,2.555555555555556,3.0,stimul,19.0,"we, elect, 1pl"
Стекло и рама производятся на первом этапе.,5.875,6.0,stimul,24.0,"nonsymmetric, plural verb, SV"
Яша или я закажет этот дорогой десерт.,3.9,4.0,stimul,24.0,"3sg, or"
Письмо от ректора читаю я и ты.,3.2857142857142856,3.0,stimul,11.0,"I_you, 1sg"
С нынешних позиций уволятся они семеро.,2.6666666666666665,3.0,stimul,18.0,"they, nom, 3pl"
В течение месяца женится они пятеро.,1.6666666666666667,2.0,stimul,16.0,"they, nom, 3sg"
Скоро он с Серёжей получает первую зарплату.,2.333333333333333,2.0,stimul,17.0,"comitative, 3rd person pronoun"
Аванс за квартиру вносим я и ты.,4.727272727272728,5.0,stimul,25.0,"I_you, 1pl"
Я или Никита внесут этот небольшой аванс.,3.6666666666666665,4.0,stimul,14.0,"3pl, or"
"Каждый мальчик, кто прокатился на спине гиппопотама, хочет игрушечного бегемота.",5.428571428571429,5.0,stimul,32.0,"with head noun, masculine head, masculine verb"
"Каждого учителя, кто преподавал в классе коррекции, ценит школьное руководство.",5.142857142857143,5.0,stimul,21.0,"with head noun, masculine head, masculine verb"
Ты и я встречаем рассвет у озера.,5.307692307692308,5.0,stimul,7.0,"you_I, 1pl"
В июне Гоша украл шины рейсового и экскурсионного автобуса.,4.4,4.0,stimul,14.0,"singular, and"
Машину из сервиса забираем ты и я.,4.5,4.0,stimul,29.0,"you_I, 1pl"
В этой точке встречается прошлое и настоящее.,5.5,6.0,stimul,9.0,"symmetric, singular verb, VS"
